2437*0
2274*0
1728*0
2642*0
2722*0
2201*0
2549*0
1553*0
2920*0
2566*0
3141*0
3142*0
4200*0
4850*0
2242*0
2158*0
1954*0
1717*0
1670*0
2996*0
5080*0
950*0
2750*0
5995*0
3400*0
2795*0
5500*0
5750*0
2095*0
5750*0
3500*0
4000*0
3300*0
1500*0
3300*0
7000*0
1395*0
2985*0
950*0
4795*0
1200*0
6000*0
1880*0
1395*0
1600*0
669*0
2300*0
500*0
1295*0
1999*0
1390*0
1350*0
1800*0
7950*0
7450*0
3600*0
4950*0
960*1
2950*0
1200*0
2075*0
1700*0
3795*0
7170*1
4440*1
300*1
1650*1
1475*0
6550*0
2400*0
2700*1
2970*1
1290*1
3750*1
19500*0
1995*0
1455*0
1295*0
1335*0
2250*0
2816*0
2185*0
2816*0
2924*0
2100*0
1250*0
1860*0
1529*0
2400*0
1325*0
1350*0
4400*0
1405*0
2850*0
1800*0
2950*0
3099*0
2280*0
1440*0
2200*0
1475*0
3700*0
6995*0
1700*0
1785*0
2516*0
1995*0
1650*0
1350*0
2575*0
3300*0
1825*0
1745*0
1625*0
1395*0
1650*0
1600*0
1300*0
1705*0
1605*0
1395*0
1925*0
1575*0
1750*0
1675*0
1705*0
1470*0
2100*0
1500*0
2699*0
1899*0
2299*0
1522*0
1753*0
2025*0
1480*0
1599*0
1725*0
1785*0
5499*0
6499*0
2914*0
1695*0
2999*0
1525*0
1748*0
4800*1
2910*1
2700*1
5250*1
2820*1
2850*1
4500*1
3720*1
3300*1
5070*1
0*1
1250*0
725*0
4550*0
2040*1
1500*1
1320*1
1000*0
6650*0
3994*0
1725*0
2224*0
4150*0
2695*0
1939*0
1739*0
1175*0
3500*0
1595*0
1265*0
1160*0
995*0
2795*0
1165*0
1657*0
1599*0
2075*0
1290*0
360*1
1590*1
1200*1
1080*1
2250*1
2250*1
1950*1
1800*1
5550*1
3300*1
5970*1
3270*1
3300*1
2970*1
2250*1
2400*1
2100*1
1290*1
2970*1
2550*1
2250*1
3000*1
2550*1
1290*1
6000*1
2370*1
2970*1
3150*1
3840*1
4800*1
3000*1
4200*1
7470*1
4170*1
2100*1
2550*1
4500*1
0*1
665*0
2550*1
2970*1
2550*1
3870*1
2820*1
3450*1
6000*1
4350*1
2550*1
6000*1
4500*1
3450*1
3750*1
4050*1
2010*1
6000*1
3750*1
2940*1
8550*1
3420*1
6000*1
4440*1
2250*1
5250*1
7200*1
4470*1
5100*1
4600*0
2600*0
1000*0
2895*0
1447*0
2400*0
1195*0
1250*0
925*0
2000*0
1195*0
2195*0
863*0
485*0
1300*0
3000*0
1425*0
1000*0
1850*0
3995*0
2850*0
2595*0
4350*0
3500*0
2850*0
3900*0
5385*0
6800*0
8950*0
3150*0
2990*0
5849*0
3395*0
1795*0
2050*0
2450*0
2750*0
5499*0
5600*0
3850*0
2500*0
4750*0
1600*0
3500*0
1075*0
2200*0
3200*0
2350*0
3400*0
7450*0
2500*0
9500*0
1700*0
3725*0
3750*0
2750*0
1600*0
2100*0
1100*0
3695*0
2295*0
2195*0
3650*0
3249*0
2495*0
2900*0
2795*0
2495*0
1700*0
6500*0
3700*0
1315*0
1200*0
1250*0
850*0
1300*0
2250*0
3295*0
